"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
21,218,"SDN","Sudan",1,"Al Jazirah",4,"North al Gazera",21,"El Mesellmiya","Unknown","Unknown",NA,NA
22,218,"SDN","Sudan",1,"Al Jazirah",4,"North al Gazera",22,"Er Riba","Unknown","Unknown",NA,NA
23,218,"SDN","Sudan",1,"Al Jazirah",4,"North al Gazera",23,"Meheiriba","Unknown","Unknown",NA,NA
24,218,"SDN","Sudan",1,"Al Jazirah",4,"North al Gazera",24,"Wad Haboba","Unknown","Unknown",NA,NA
25,218,"SDN","Sudan",1,"Al Jazirah",5,"Sharq al Gazera",25,"Eg Geneid","Unknown","Unknown",NA,NA
26,218,"SDN","Sudan",1,"Al Jazirah",5,"Sharq al Gazera",26,"Eidag","Unknown","Unknown",NA,NA
27,218,"SDN","Sudan",1,"Al Jazirah",5,"Sharq al Gazera",27,"Rufaa","Unknown","Unknown",NA,NA
28,218,"SDN","Sudan",1,"Al Jazirah",5,"Sharq al Gazera",28,"Tambul","Unknown","Unknown",NA,NA
29,218,"SDN","Sudan",1,"Al Jazirah",6,"South al Gazera",29,"Abud","Unknown","Unknown",NA,NA
30,218,"SDN","Sudan",1,"Al Jazirah",6,"South al Gazera",30,"El Gamusi","Unknown","Unknown",NA,NA
31,218,"SDN","Sudan",1,"Al Jazirah",6,"South al Gazera",31,"Kedeibat","Unknown","Unknown",NA,NA
32,218,"SDN","Sudan",1,"Al Jazirah",6,"South al Gazera",32,"Wad El Libeih","Unknown","Unknown",NA,NA
33,218,"SDN","Sudan",1,"Al Jazirah",7,"Um Al Gura",33,"El Hosh","Unknown","Unknown",NA,NA
34,218,"SDN","Sudan",1,"Al Jazirah",7,"Um Al Gura",34,"El Madina Arab","Unknown","Unknown",NA,NA
35,218,"SDN","Sudan",1,"Al Jazirah",7,"Um Al Gura",35,"Hag Abdalla","Unknown","Unknown",NA,NA
36,218,"SDN","Sudan",1,"Al Jazirah",7,"Um Al Gura",36,"Tayba","Unknown","Unknown",NA,NA
37,218,"SDN","Sudan",1,"Al Jazirah",7,"Um Al Gura",37,"Wad Al Hadad","Unknown","Unknown",NA,NA
38,218,"SDN","Sudan",1,"Al Jazirah",7,"Um Al Gura",38,"Wad En Naim","Unknown","Unknown",NA,NA
39,218,"SDN","Sudan",1,"Al Jazirah",7,"Um Al Gura",39,"Wad Raiya","Unknown","Unknown",NA,NA
40,218,"SDN","Sudan",2,"Al Qadarif",8,"Al Faw",40,"El Butana","Unknown","Unknown",NA,NA
41,218,"SDN","Sudan",2,"Al Qadarif",8,"Al Faw",41,"Shuwak","Unknown","Unknown",NA,NA
42,218,"SDN","Sudan",2,"Al Qadarif",9,"Al Fushqa",42,"Khashm El Girba","Unknown","Unknown",NA,NA
43,218,"SDN","Sudan",2,"Al Qadarif",9,"Al Fushqa",43,"Wad El Heilu","Unknown","Unknown",NA,NA
44,218,"SDN","Sudan",2,"Al Qadarif",10,"Al Gadaref",44,"Unknown_3","Unknown","Unknown",NA,NA
45,218,"SDN","Sudan",2,"Al Qadarif",11,"Al Galabat",45,"Doka","Unknown","Unknown",NA,NA
46,218,"SDN","Sudan",2,"Al Qadarif",11,"Al Galabat",46,"El Mogran","Unknown","Unknown",NA,NA
47,218,"SDN","Sudan",2,"Al Qadarif",11,"Al Galabat",47,"Kassab","Unknown","Unknown",NA,NA
48,218,"SDN","Sudan",2,"Al Qadarif",12,"Al Rahd",48,"Al Faw","Unknown","Unknown",NA,NA
49,218,"SDN","Sudan",2,"Al Qadarif",12,"Al Rahd",49,"El Hawat","Unknown","Unknown",NA,NA
50,218,"SDN","Sudan",2,"Al Qadarif",12,"Al Rahd",50,"El Mafaza","Unknown","Unknown",NA,NA
51,218,"SDN","Sudan",2,"Al Qadarif",12,"Al Rahd",51,"Qala El Nahl","Unknown","Unknown",NA,NA
52,218,"SDN","Sudan",3,"Blue Nile",13,"Ad Damazin",52,"Ed Damazin","Unknown","Unknown",NA,NA
53,218,"SDN","Sudan",3,"Blue Nile",14,"Al Kurumik",53,"Kurumuk","Unknown","Unknown",NA,NA
54,218,"SDN","Sudan",3,"Blue Nile",14,"Al Kurumik",54,"Ora","Unknown","Unknown",NA,NA
55,218,"SDN","Sudan",3,"Blue Nile",15,"Al Roseires",55,"Er Roseires","Unknown","Unknown",NA,NA
56,218,"SDN","Sudan",3,"Blue Nile",16,"Baw",56,"Baw","Unknown","Unknown",NA,NA
